TransactionID,TransactionAmount,MerchantID,TimeOfTransaction,Location,PreviousTransactionHistory,UserSpendingPatterns,Fraudulent,CardType,CardIssuer,IsInternational,IsHighRiskMerchant,TransactionType,AmountBalance,MerchantType,MerchantLocation,UserAge,MerchantCategory,MerchantRevenue
C170027,20946.128938155616,M456,2022-06-21 14:45:00,Location_1,Normal,Normal,0,Credit,Issuer_3,0,1,PAYMENT,41714.01071245422,Service,Location_3,34.0,Category_3,148185.8045444744
C170028,8772.414678078088,M789,2022-06-21 15:00:00,Location_3,Normal,Normal,0,Credit,Issuer_3,0,0,CREDIT,259.40420751535584,Service,Location_1,27.0,Category_3,39855.06338045052
C170029,393.08508511669504,M123,2022-06-21 15:15:00,Location_3,Normal,Normal,0,Debit,Issuer_1,0,1,CREDIT,49790.06587677727,Retail,Location_2,,Category_2,133613.66491409342
C170030,17604.068244722315,M456,2022-06-21 15:30:00,Location_2,Normal,Normal,0,Debit,Issuer_2,0,0,DEBIT,5814.651056104513,Service,Location_3,39.0,Category_1,91831.24064476631
C170031,10361.430140782566,M456,2022-06-21 15:45:00,Location_3,Normal,Normal,1,Debit,Issuer_3,0,0,TRANSFER,47278.517428612104,Online,Location_2,41.0,Category_3,284564.0400224088
C170032,13164.165229028555,M123,2022-06-21 16:00:00,Location_1,Normal,Normal,1,Credit,Issuer_1,1,0,DEBIT,40326.28275999967,Online,Location_3,59.0,Category_3,218989.46119077603
C170033,9160.48818937896,M123,2022-06-21 16:15:00,Location_1,Normal,Suspicious,0,Credit,Issuer_1,0,0,CASH_OUT,3819.3101128151634,Service,Location_1,47.0,Category_2,285886.0605489434
C170034,1338.8448219086274,M123,2022-06-21 16:30:00,Location_1,Normal,Suspicious,0,Debit,Issuer_3,0,0,DEBIT,14920.348769669661,Service,Location_3,40.0,Category_1,102261.38514034447
C170035,15256.067988418507,M456,2022-06-21 16:45:00,Location_2,Normal,Suspicious,0,Credit,Issuer_2,0,0,CASH_IN,3994.331157385631,Online,Location_3,,Category_1,97899.35810337735
C170036,8967.517705722456,M789,2022-06-21 17:00:00,Location_2,Normal,Normal,0,Debit,Issuer_1,0,0,TRANSFER,39216.97237595531,Online,Location_2,45.0,Category_2,23301.594911639182
C170037,4066.982082590161,M456,2022-06-21 17:15:00,Location_3,Normal,Normal,0,Debit,Issuer_3,0,0,CASH_IN,16947.55849167008,Online,Location_1,,Category_2,415973.7806647466
C170038,6651.2321295283045,M456,2022-06-21 17:30:00,Location_3,Normal,Normal,0,Debit,Issuer_2,0,0,CASH_OUT,40779.82740346227,Online,Location_2,30.0,Category_2,11478.75838307745
C170039,9813.830032432978,M456,2022-06-21 17:45:00,Location_2,Suspicious,Normal,0,Debit,Issuer_3,0,0,CASH_IN,40439.07264203967,Service,Location_1,35.0,Category_2,312227.20513191243
C170040,5258.069057454341,M789,2022-06-21 18:00:00,Location_1,Normal,Normal,0,Credit,Issuer_1,0,0,PAYMENT,21593.50910511845,Retail,Location_3,38.0,Category_1,372865.4619049155
C170041,5317.73650674523,M456,2022-06-21 18:15:00,Location_2,Normal,Suspicious,0,Debit,Issuer_1,0,1,CASH_IN,10475.014773641435,Service,Location_1,38.0,Category_1,370117.21294330055
C170042,11079.119436944356,M789,2022-06-21 18:30:00,Location_3,Normal,Normal,1,Credit,Issuer_1,0,0,CASH_OUT,15482.706422525202,Online,Location_2,53.0,Category_1,181349.43250522815
C170043,4343.15580434762,M456,2022-06-21 18:45:00,Location_1,Normal,Suspicious,1,Debit,Issuer_2,0,0,CASH_OUT,27939.564841484327,Service,Location_2,38.0,Category_2,135632.11323591054
C170044,9695.345480430482,M456,2022-06-21 19:00:00,Location_3,Suspicious,Suspicious,0,Credit,Issuer_1,0,0,DEBIT,40507.81121499004,Service,Location_1,52.0,Category_3,262420.46498264925
C170045,3426.121366851836,M456,2022-06-21 19:15:00,Location_1,Normal,Suspicious,0,Debit,Issuer_3,0,0,CASH_IN,39705.17334519578,Online,Location_3,51.0,Category_3,397845.2459958863
C170046,5919.9424793560465,M456,2022-06-21 19:30:00,Location_2,Normal,Suspicious,0,Credit,Issuer_1,0,0,CASH_OUT,9407.118089454216,Service,Location_2,33.0,Category_1,442934.19976672047
C170047,9355.547300326389,M789,2022-06-21 19:45:00,Location_2,Suspicious,Normal,0,Debit,Issuer_1,0,0,CASH_OUT,17396.341454147587,Online,Location_1,,Category_1,431096.87904881587
C170048,5616.9317428804925,M123,2022-06-21 20:00:00,Location_1,Normal,Normal,0,Credit,Issuer_3,0,1,CREDIT,21765.817508529162,Retail,Location_1,51.0,Category_2,171931.56823590086
C170049,7266.417774429201,M456,2022-06-21 20:15:00,Location_3,Suspicious,Normal,0,Credit,Issuer_1,0,0,DEBIT,41557.174930921836,Retail,Location_3,,Category_3,353914.99654658046
C170050,2784.2188244577305,M456,2022-06-21 20:30:00,Location_2,Suspicious,Suspicious,1,Debit,Issuer_2,0,0,DEBIT,30426.950742757937,Online,Location_1,,Category_2,134575.58430065314
C170051,3613.941045773907,M789,2022-06-21 20:45:00,Location_2,Normal,Normal,0,Credit,Issuer_3,0,1,PAYMENT,36794.58357871046,Online,Location_3,27.0,Category_3,245356.54957861963
C170052,2910.4699981299204,M123,2022-06-21 21:00:00,Location_2,Normal,Normal,0,Debit,Issuer_2,0,0,CASH_IN,8086.6670347188765,Service,Location_1,59.0,Category_2,91015.53983234812
C170053,8043.034379012148,M789,2022-06-21 21:15:00,Location_3,Normal,Normal,1,Credit,Issuer_3,0,1,PAYMENT,950.5727854394444,Retail,Location_1,54.0,Category_3,439469.8214970389
C170054,4058.5647116091573,M789,2022-06-21 21:30:00,Location_3,Normal,Normal,1,Credit,Issuer_1,0,0,TRANSFER,41456.46167375441,Retail,Location_1,,Category_1,339347.7823132835
C170055,5544.4467342596,M456,2022-06-21 21:45:00,Location_2,Normal,Normal,0,Credit,Issuer_1,0,0,CASH_IN,32517.443667833842,Online,Location_2,54.0,Category_3,359859.48614784994
C170056,880.7880859427323,M123,2022-06-21 22:00:00,Location_2,Normal,Normal,1,Credit,Issuer_3,1,0,CREDIT,43141.52887595629,Service,Location_3,39.0,Category_2,32705.102264852718
C170057,4406.120087290114,M456,2022-06-21 22:15:00,Location_1,Normal,Suspicious,0,Debit,Issuer_1,0,0,PAYMENT,27900.972432491246,Service,Location_3,37.0,Category_1,190989.1429334874
C170058,7694.838637186327,M123,2022-06-21 22:30:00,Location_3,Suspicious,Normal,0,Debit,Issuer_1,0,0,DEBIT,29111.965118468164,Online,Location_1,56.0,Category_1,477929.6399710452
C170059,10109.75653458893,M456,2022-06-21 22:45:00,Location_2,Normal,Normal,1,Credit,Issuer_3,0,0,CASH_OUT,12065.145704388593,Online,Location_1,35.0,Category_3,60576.55063680622
C170060,4079.8986595293313,M456,2022-06-21 23:00:00,Location_3,Suspicious,Normal,0,Credit,Issuer_1,1,0,CASH_IN,49405.933794508484,Retail,Location_3,,Category_3,182405.37117375602
C170061,4954.88191292128,M456,2022-06-21 23:15:00,Location_2,Normal,Normal,0,Credit,Issuer_1,0,1,CASH_IN,8224.248819005687,Service,Location_3,52.0,Category_3,190984.41664431017
C170062,7127.9502517147685,M123,2022-06-21 23:30:00,Location_3,Normal,Suspicious,0,Credit,Issuer_2,0,0,CREDIT,408.85937199365094,Online,Location_1,30.0,Category_2,145721.34664600328
C170063,5511.7936535149265,M789,2022-06-21 23:45:00,Location_1,Suspicious,Normal,0,Credit,Issuer_2,0,0,CASH_IN,49441.7997420099,Retail,Location_3,25.0,Category_3,107051.81650287475
C170064,12300.100511185536,M456,2022-06-22 00:00:00,Location_3,Normal,Normal,0,Credit,Issuer_1,0,0,DEBIT,16914.032764015446,Service,Location_3,42.0,Category_1,396968.71536954737
C170065,5301.870463838035,M456,2022-06-22 00:15:00,Location_3,Normal,Normal,0,Credit,Issuer_2,0,0,CASH_OUT,34744.56579989789,Service,Location_1,,Category_1,30809.82821460018
C170066,3071.3513848895864,M456,2022-06-22 00:30:00,Location_1,Suspicious,Normal,0,Credit,Issuer_2,0,0,PAYMENT,33077.45965881471,Online,Location_3,39.0,Category_2,107393.10094097981
C170067,4137.853856356131,M789,2022-06-22 00:45:00,Location_3,Normal,Normal,0,Debit,Issuer_1,0,0,CASH_OUT,32476.05094067442,Retail,Location_2,38.0,Category_2,96440.29971228479
C170068,11389.752755314692,M456,2022-06-22 01:00:00,Location_3,Normal,Suspicious,0,Debit,Issuer_1,0,0,DEBIT,13690.930411021558,Online,Location_1,28.0,Category_1,100782.4264413021
C170069,1671.6974721450297,M456,2022-06-22 01:15:00,Location_2,Normal,Suspicious,1,Debit,Issuer_3,0,1,CREDIT,44025.071204225285,Online,Location_3,58.0,Category_3,237564.30280180395
C170070,1253.270551030512,M789,2022-06-22 01:30:00,Location_3,Normal,Suspicious,1,Debit,Issuer_3,0,0,PAYMENT,25426.73688963256,Retail,Location_1,,Category_3,181491.65670271832
C170071,1489.7048803408431,M456,2022-06-22 01:45:00,Location_3,Normal,Normal,0,Debit,Issuer_1,0,0,TRANSFER,18607.262149040806,Online,Location_2,47.0,Category_1,314145.0139117518
C170072,7637.3012686073025,M789,2022-06-22 02:00:00,Location_2,Normal,Suspicious,1,Credit,Issuer_1,1,1,TRANSFER,45102.61082927536,Online,Location_1,47.0,Category_3,422623.1088070495
C170073,11675.54150109195,M789,2022-06-22 02:15:00,Location_3,Normal,Normal,1,Debit,Issuer_3,0,0,CASH_IN,10767.945380699311,Retail,Location_2,,Category_3,75227.04996975491
C170074,1450.8801732398683,M456,2022-06-22 02:30:00,Location_2,Suspicious,Suspicious,0,Debit,Issuer_1,0,1,CREDIT,35908.61343616196,Retail,Location_1,31.0,Category_1,363757.4114457234
C170075,8377.398134794596,M456,2022-06-22 02:45:00,Location_1,Normal,Normal,0,Credit,Issuer_2,0,1,CREDIT,19683.39709259,Online,Location_2,,Category_3,154911.23529416678
C170076,2995.8134810237502,M456,2022-06-22 03:00:00,Location_1,Normal,Normal,0,Debit,Issuer_3,0,0,TRANSFER,8317.41880945405,Service,Location_2,30.0,Category_3,318053.71551232587
C170077,12124.583808400921,M456,2022-06-22 03:15:00,Location_1,Normal,Normal,0,Debit,Issuer_3,0,0,DEBIT,38227.73103356771,Retail,Location_3,37.0,Category_1,252475.6631727314
C170078,2358.311077475847,M789,2022-06-22 03:30:00,Location_1,Normal,Suspicious,0,Debit,Issuer_3,0,1,CASH_OUT,43277.23636685826,Online,Location_1,27.0,Category_1,393838.8543475416
C170079,4975.914666838349,M789,2022-06-22 03:45:00,Location_2,Normal,Suspicious,0,Debit,Issuer_2,0,0,TRANSFER,12542.680798970167,Retail,Location_2,44.0,Category_3,27636.144737321574
C170080,2173.361834175406,M123,2022-06-22 04:00:00,Location_1,Normal,Normal,0,Credit,Issuer_1,0,0,DEBIT,36682.50530680582,Retail,Location_2,36.0,Category_2,180168.072854845
C170081,11580.731638681707,M123,2022-06-22 04:15:00,Location_1,Normal,Normal,0,Debit,Issuer_2,0,0,PAYMENT,20547.344848526212,Service,Location_2,28.0,Category_3,347052.12778319593
C170082,7438.422959009655,M789,2022-06-22 04:30:00,Location_1,Normal,Normal,1,Credit,Issuer_3,0,0,DEBIT,42488.787605100086,Service,Location_3,35.0,Category_1,459431.6467903683
C170083,14546.017661655782,M123,2022-06-22 04:45:00,Location_1,Suspicious,Suspicious,0,Credit,Issuer_1,0,0,CREDIT,14313.838589946568,Online,Location_1,40.0,Category_3,113101.22104431396
C170084,3398.5044871264936,M456,2022-06-22 05:00:00,Location_1,Normal,Normal,1,Debit,Issuer_2,0,0,TRANSFER,25758.304235554686,Online,Location_1,34.0,Category_1,153530.69631008504
C170085,6136.204099920688,M123,2022-06-22 05:15:00,Location_3,Normal,Normal,0,Debit,Issuer_1,0,0,CASH_OUT,20880.410947230837,Service,Location_1,,Category_2,331258.3517419725
C170086,10394.90009947598,M789,2022-06-22 05:30:00,Location_3,Normal,Suspicious,1,Credit,Issuer_1,0,1,CASH_OUT,12545.54138483409,Service,Location_2,31.0,Category_2,41114.23095429114
C170087,3019.9747272286872,M789,2022-06-22 05:45:00,Location_2,Suspicious,Normal,0,Debit,Issuer_1,0,0,CREDIT,31762.15002200862,Service,Location_2,40.0,Category_2,8482.609621153057
C170088,6667.961335555656,M789,2022-06-22 06:00:00,Location_2,Normal,Normal,0,Debit,Issuer_2,1,0,PAYMENT,19768.7838627069,Retail,Location_1,25.0,Category_2,487840.2539655945
C170089,12089.600519077123,M123,2022-06-22 06:15:00,Location_1,Normal,Suspicious,0,Debit,Issuer_3,0,0,PAYMENT,35999.14810600756,Online,Location_3,44.0,Category_2,112959.96312776538
C170090,1148.6286411110614,M456,2022-06-22 06:30:00,Location_1,Normal,Suspicious,0,Debit,Issuer_1,0,0,DEBIT,16501.901634659054,Service,Location_3,36.0,Category_1,373436.0859674354
C170091,3905.411047631691,M789,2022-06-22 06:45:00,Location_3,Suspicious,Suspicious,1,Credit,Issuer_1,0,0,CASH_IN,45623.79031588412,Online,Location_3,34.0,Category_3,117739.69627568913
C170092,5443.790444981855,M789,2022-06-22 07:00:00,Location_1,Normal,Normal,0,Debit,Issuer_2,0,0,CASH_IN,18749.182851494592,Service,Location_1,32.0,Category_1,252993.53429132717
C170093,14053.971871851156,M789,2022-06-22 07:15:00,Location_3,Normal,Normal,1,Credit,Issuer_1,0,1,TRANSFER,5406.314102400215,Online,Location_3,50.0,Category_3,408015.34805009974
C170094,7870.283225183327,M123,2022-06-22 07:30:00,Location_1,Normal,Normal,0,Debit,Issuer_1,0,0,CASH_IN,46079.36787785963,Retail,Location_3,40.0,Category_1,162090.06160235393
C170095,2536.57494733524,M123,2022-06-22 07:45:00,Location_1,Suspicious,Normal,0,Debit,Issuer_3,0,0,CREDIT,25377.01772780503,Retail,Location_2,35.0,Category_1,262562.5564492895
C170096,7343.895755866843,M123,2022-06-22 08:00:00,Location_3,Suspicious,Suspicious,0,Debit,Issuer_3,0,1,CASH_IN,35690.57773245257,Retail,Location_2,,Category_2,214294.8603140742
C170097,750.8331363933033,M456,2022-06-22 08:15:00,Location_1,Normal,Normal,1,Debit,Issuer_1,0,0,CASH_IN,21572.07678042006,Retail,Location_2,36.0,Category_2,248608.8174175786
C170098,1543.1542120928002,M789,2022-06-22 08:30:00,Location_1,Suspicious,Suspicious,0,Debit,Issuer_1,0,1,CASH_IN,6170.693831786155,Service,Location_3,,Category_3,478009.4827778807
C170099,5420.054065698196,M456,2022-06-22 08:45:00,Location_3,Normal,Suspicious,0,Credit,Issuer_3,0,1,CREDIT,13773.589250111927,Online,Location_3,56.0,Category_2,46363.5505851445
C1700100,2942.88789477151,M123,2022-06-22 09:00:00,Location_3,Normal,Normal,0,Credit,Issuer_3,0,0,TRANSFER,9482.793408791298,Service,Location_1,54.0,Category_1,104038.73603633085
C1700101,6959.337976413279,M789,2022-06-22 09:15:00,Location_2,Suspicious,Suspicious,0,Credit,Issuer_3,0,0,CREDIT,10783.727858217968,Online,Location_2,43.0,Category_2,76436.15864027932
C1700102,4522.590020683738,M789,2022-06-22 09:30:00,Location_3,Normal,Normal,0,Debit,Issuer_1,1,0,CASH_IN,9628.177794017594,Retail,Location_1,46.0,Category_1,83467.46681762021
C1700103,5827.50383773564,M456,2022-06-22 09:45:00,Location_2,Normal,Normal,0,Credit,Issuer_2,0,1,TRANSFER,10873.142078756495,Retail,Location_2,52.0,Category_3,238634.27905003066
C1700104,4218.759743668745,M789,2022-06-22 10:00:00,Location_3,Normal,Suspicious,0,Credit,Issuer_2,0,0,CASH_OUT,25661.105603525844,Online,Location_3,28.0,Category_3,31548.33693940597
C1700105,7657.734854687966,M123,2022-06-22 10:15:00,Location_1,Normal,Normal,1,Debit,Issuer_1,0,0,CASH_IN,32244.29857762792,Service,Location_3,43.0,Category_3,434371.42222990753
C1700106,2462.2743642388255,M123,2022-06-22 10:30:00,Location_1,Normal,Normal,0,Credit,Issuer_3,0,0,CASH_OUT,691.1351954366887,Online,Location_1,45.0,Category_1,182233.89617071327
C1700107,6479.3845400606,M456,2022-06-22 10:45:00,Location_1,Normal,Normal,0,Credit,Issuer_2,0,1,CASH_IN,24003.214480985032,Online,Location_3,33.0,Category_2,151287.24570329877
C1700108,10231.956958495537,M456,2022-06-22 11:00:00,Location_3,Normal,Normal,0,Credit,Issuer_2,0,1,CASH_IN,20781.894174675996,Online,Location_1,40.0,Category_2,121607.55114256899
C1700109,4239.644411338299,M456,2022-06-22 11:15:00,Location_3,Suspicious,Normal,0,Debit,Issuer_2,0,0,CASH_OUT,38206.1212265225,Retail,Location_2,27.0,Category_2,338505.4886937639
C1700110,4074.4807330595327,M123,2022-06-22 11:30:00,Location_1,Suspicious,Normal,1,Debit,Issuer_2,0,0,CASH_OUT,14472.00899839202,Online,Location_1,55.0,Category_2,163461.88130006366
C1700111,13167.703173547265,M123,2022-06-22 11:45:00,Location_3,Normal,Normal,0,Credit,Issuer_1,0,0,DEBIT,494.7183909099688,Retail,Location_2,37.0,Category_2,287591.1753968059
C1700112,8259.415271346601,M789,2022-06-22 12:00:00,Location_1,Normal,Suspicious,0,Debit,Issuer_2,0,0,CREDIT,26184.499344047716,Service,Location_2,28.0,Category_1,270237.4433320197
C1700113,9668.692124126039,M123,2022-06-22 12:15:00,Location_3,Normal,Normal,0,Debit,Issuer_2,0,1,CREDIT,29635.619501532758,Online,Location_3,47.0,Category_2,72573.12960209476
C1700114,5487.280329977176,M789,2022-06-22 12:30:00,Location_2,Normal,Suspicious,0,Credit,Issuer_3,0,0,CREDIT,45305.05145617643,Service,Location_1,42.0,Category_2,396420.9983188588
C1700115,1279.548709389385,M456,2022-06-22 12:45:00,Location_1,Normal,Normal,1,Debit,Issuer_1,0,0,TRANSFER,2979.260100185777,Retail,Location_1,,Category_1,153274.51318094324
C1700116,3279.6447040161415,M456,2022-06-22 13:00:00,Location_2,Suspicious,Normal,0,Debit,Issuer_1,0,0,CASH_IN,32742.284007196416,Online,Location_1,43.0,Category_1,70877.91453192069
C1700117,9799.552152361422,M456,2022-06-22 13:15:00,Location_2,Normal,Normal,1,Debit,Issuer_3,1,0,TRANSFER,33449.31693966329,Retail,Location_2,,Category_3,412166.61461659253
C1700118,12933.496730854908,M456,2022-06-22 13:30:00,Location_3,Suspicious,Normal,0,Credit,Issuer_1,0,1,TRANSFER,36271.28939146721,Online,Location_2,56.0,Category_3,237652.20798754157
C1700119,3819.707213813859,M123,2022-06-22 13:45:00,Location_2,Normal,Normal,0,Credit,Issuer_2,0,0,TRANSFER,47413.92578710747,Service,Location_2,52.0,Category_3,44107.51489875903
C1700120,1706.0856730630594,M123,2022-06-22 14:00:00,Location_2,Suspicious,Normal,0,Debit,Issuer_3,0,0,CASH_OUT,28625.476243676847,Online,Location_1,44.0,Category_2,6786.356261644535
C1700121,5291.794880298714,M789,2022-06-22 14:15:00,Location_1,Normal,Normal,0,Credit,Issuer_3,0,0,CREDIT,48579.383899268105,Retail,Location_3,25.0,Category_2,459735.6612091858
C1700122,5388.693008255597,M789,2022-06-22 14:30:00,Location_1,Normal,Normal,0,Debit,Issuer_2,0,0,CASH_OUT,31475.27793732078,Retail,Location_2,33.0,Category_3,184769.77685844185
C1700123,3519.6766945651902,M789,2022-06-22 14:45:00,Location_3,Normal,Normal,0,Debit,Issuer_2,0,1,CASH_OUT,11183.753426635838,Service,Location_1,57.0,Category_1,391131.38878792204
C1700124,14406.593103680685,M789,2022-06-22 15:00:00,Location_1,Normal,Normal,0,Credit,Issuer_3,0,0,DEBIT,18867.55696191455,Retail,Location_3,,Category_2,291035.9164822659
C1700125,8893.863881067029,M789,2022-06-22 15:15:00,Location_2,Suspicious,Normal,0,Debit,Issuer_1,0,0,DEBIT,25655.42575921542,Service,Location_1,39.0,Category_1,144147.4546879621
C1700126,2763.4973642164564,M456,2022-06-22 15:30:00,Location_1,Normal,Normal,0,Credit,Issuer_1,0,0,CASH_OUT,19710.29378706081,Service,Location_3,57.0,Category_3,423800.5521486733
C1700127,3010.7154033744528,M123,2022-06-22 15:45:00,Location_1,Normal,Normal,0,Debit,Issuer_1,1,0,CASH_OUT,45730.578036226536,Online,Location_1,,Category_2,167274.29155448065
C1700128,2518.9855004450274,M456,2022-06-22 16:00:00,Location_3,Normal,Normal,1,Debit,Issuer_1,0,1,PAYMENT,40005.9214551614,Retail,Location_1,53.0,Category_3,274374.6000209979
C1700129,94.59163455456077,M123,2022-06-22 16:15:00,Location_1,Normal,Normal,0,Debit,Issuer_3,0,0,PAYMENT,48304.38242598359,Online,Location_3,32.0,Category_3,69762.07565128885
C1700130,1212.558206975544,M123,2022-06-22 16:30:00,Location_3,Suspicious,Normal,0,Debit,Issuer_2,0,1,DEBIT,34035.87340506374,Online,Location_3,42.0,Category_2,28126.37688939085
C1700131,13736.889405308895,M123,2022-06-22 16:45:00,Location_1,Normal,Suspicious,0,Debit,Issuer_2,0,0,CREDIT,46526.40842101728,Service,Location_2,39.0,Category_3,273722.92294993816
C1700132,4611.924967045478,M456,2022-06-22 17:00:00,Location_3,Normal,Suspicious,0,Credit,Issuer_2,0,0,TRANSFER,9282.01816885618,Service,Location_2,57.0,Category_2,455600.1326676854
C1700133,2449.9650636807796,M456,2022-06-22 17:15:00,Location_3,Normal,Normal,1,Credit,Issuer_1,0,0,PAYMENT,28244.529996897774,Online,Location_1,34.0,Category_3,312565.1170346577
C1700134,12482.36113537871,M123,2022-06-22 17:30:00,Location_1,Suspicious,Normal,0,Credit,Issuer_1,0,1,TRANSFER,3649.1078012823855,Service,Location_3,51.0,Category_2,124415.96660527702
C1700135,6179.275705777771,M123,2022-06-22 17:45:00,Location_3,Normal,Normal,1,Debit,Issuer_3,0,1,PAYMENT,46432.53341541102,Online,Location_2,29.0,Category_1,27529.20707454241
C1700136,3767.3595665133985,M456,2022-06-22 18:00:00,Location_1,Normal,Normal,0,Credit,Issuer_3,0,0,DEBIT,4789.1141542048135,Service,Location_1,32.0,Category_3,127700.96999903356
C1700137,9981.219456665256,M789,2022-06-22 18:15:00,Location_2,Suspicious,Normal,1,Debit,Issuer_2,0,1,PAYMENT,46025.878455721315,Retail,Location_2,57.0,Category_3,183824.6373767144
C1700138,4153.3244068393215,M123,2022-06-22 18:30:00,Location_1,Suspicious,Normal,0,Credit,Issuer_3,0,0,CASH_IN,45070.871847399976,Retail,Location_2,,Category_1,167788.5916779814
